date	category	campaign_id	slice	value
2020-11-21	59	26	3	688
2020-10-13	30	22	3	281
2020-07-24	80	24	9	266
2020-11-06	50	37	9	29
2020-02-21	70	50	7	25
2020-02-06	18	22	8	561
2020-03-18	76	43	8	747
2020-05-29	74	17	2	615
2020-12-15	16	41	1	301
2020-03-13	28	21	9	776
2020-08-21	7	1	10	308
2020-11-23	79	38	8	646
2020-11-14	27	25	2	787
2020-04-01	40	17	4	500
2020-02-16	70	39	5	849
2020-04-28	21	41	9	161
2020-07-18	53	41	5	627
2020-07-12	68	43	6	215
2020-06-01	12	37	6	604
2020-08-24	21	14	5	240
2020-07-12	89	36	5	349
2020-07-24	70	31	0	21
2020-03-18	43	18	8	701
2020-07-18	80	48	5	112
2020-08-03	69	5	3	340
2020-07-14	4	39	4	227
2020-10-05	55	6	3	688
2020-10-01	8	34	0	143
2020-03-02	13	10	3	360
2020-11-07	84	23	4	410
2020-09-10	63	18	10	866
2020-12-09	16	31	2	913
2020-07-05	63	41	9	846
2020-03-19	75	31	3	701
2020-01-29	96	29	5	498
2020-09-12	27	28	2	274
2020-02-04	1	9	8	312
2020-07-09	23	19	2	226
2020-01-17	74	22	0	806
2020-06-27	29	16	10	997
2020-05-19	2	22	1	250
2020-01-23	48	33	0	439
2020-07-23	95	25	6	492
2020-07-28	59	42	8	257
2020-11-13	34	41	9	115
2020-06-28	94	19	6	146
2020-06-11	84	8	8	200
2020-06-11	37	19	5	241
2020-08-24	79	33	0	730
2020-01-29	47	23	8	948
2020-11-24	84	6	6	855
2020-12-08	41	17	1	467
2020-02-29	10	9	6	421
2020-01-03	73	1	7	67
2020-08-20	93	42	2	190
2020-11-14	11	18	1	806
2020-09-12	41	21	1	21
2020-10-07	39	24	5	225
2020-06-10	14	35	8	517
2020-07-03	24	14	4	671
2020-09-02	40	47	9	645
2020-04-15	52	9	10	851
2020-10-04	41	29	8	111
2020-09-21	72	9	0	313
2020-07-05	62	24	3	555
2020-09-04	74	22	9	739
2020-08-06	93	17	5	390
2020-01-15	39	48	6	794
2020-07-12	82	34	2	688
2020-04-17	62	37	7	475
2020-06-30	37	28	6	377
2020-01-09	60	19	4	263
2020-10-07	10	12	2	863
2020-05-01	32	20	10	666
2020-01-10	79	44	7	804
2020-01-18	92	35	2	544
2020-05-30	2	29	0	376
2020-07-13	70	48	7	166
2020-05-31	91	15	6	804
2020-06-30	2	35	1	73
2020-10-27	28	27	5	778
2020-08-13	32	45	1	191
2020-03-02	18	50	4	601
2020-10-05	58	33	5	911
2020-11-02	3	39	2	66
2020-04-02	77	15	2	491
2020-12-03	28	32	10	271
2020-04-05	4	33	0	202
2020-06-15	42	23	8	65
2020-04-05	58	9	6	573
2020-08-30	58	6	7	925
2020-05-24	21	17	3	669
2020-11-25	47	37	3	262
2020-09-20	63	18	2	983
2020-08-07	70	43	2	922
2020-06-02	58	14	5	51
2020-01-25	83	10	2	693
2020-07-23	17	48	2	68
2020-12-07	38	6	10	108
2020-07-03	93	15	3	653
2020-09-10	16	5	9	863
2020-08-27	71	19	3	297
2020-12-21	98	32	0	40
2020-07-26	8	43	9	701
2020-01-28	78	46	9	696
2020-03-22	31	28	8	955
2020-10-24	18	12	8	764
2020-05-19	93	33	8	200
2020-05-19	41	22	2	543
2020-12-15	8	10	2	866
2020-06-03	1	18	2	348
2020-02-26	82	19	10	390
2020-11-25	53	38	5	394
2020-05-07	80	9	2	951
2020-01-14	39	32	8	663
2020-11-18	54	4	2	350
2020-09-07	65	29	7	239
2020-11-10	93	8	6	971
2020-04-14	24	15	2	528
2020-07-16	19	11	5	93
2020-03-24	60	1	0	931
2020-12-22	51	14	3	308
2020-01-16	94	3	9	260
2020-02-27	53	48	4	697
2020-01-05	31	35	0	50
2020-09-05	69	19	3	476
2020-02-27	63	35	1	244
2020-02-28	51	29	4	482
2020-04-17	62	27	9	700
2020-02-10	33	31	2	83
2020-04-10	83	46	3	789
2020-01-11	46	30	8	715
2020-12-10	38	45	6	436
2020-09-04	64	30	3	376
2020-07-16	27	32	6	643
2020-05-26	7	41	5	453
2020-05-26	9	3	5	626
2020-09-10	84	15	9	926
2020-03-05	99	41	9	913
2020-04-11	2	2	9	368
2020-02-12	72	5	5	629
2020-02-08	20	47	3	862
2020-05-27	7	6	8	846
2020-05-17	36	24	0	843
2020-04-02	23	3	8	497
2020-03-07	23	15	1	504
2020-03-05	71	42	9	437
2020-12-28	76	31	6	582
2020-05-13	78	5	7	47
2020-06-17	24	37	6	690
2020-09-12	98	1	5	695
2020-02-03	77	29	8	371
2020-05-03	12	17	5	200
2020-10-01	53	38	0	914
2020-10-06	69	49	6	474
2020-09-25	37	40	6	242
2020-03-30	37	36	0	66
2020-09-15	35	1	8	684
2020-05-07	76	40	9	425
2020-03-04	90	19	4	301
2020-09-18	24	26	2	862
2020-06-29	30	41	9	469
2020-01-12	38	3	1	885
2020-08-25	59	9	8	153
2020-01-10	60	17	7	216
2020-04-03	84	35	1	54
2020-10-26	45	32	10	175
2020-03-11	87	5	3	82
2020-10-27	87	33	1	981
2020-04-02	27	1	9	101
2020-08-24	71	13	1	36
2020-06-24	35	45	1	79
2020-03-30	99	49	3	268
2020-12-01	73	24	1	13
2020-09-14	69	38	8	297
2020-06-22	16	37	2	599
2020-07-27	36	39	7	639
2020-09-05	86	38	3	203
2020-07-21	50	6	6	4
2020-11-06	61	33	1	977
2020-01-12	27	36	3	766
2020-11-12	89	34	2	690
2020-01-30	47	29	9	115
2020-09-24	36	34	6	811
2020-12-16	86	50	2	148
2020-12-06	4	36	1	869
2020-09-24	33	49	4	299
2020-04-04	96	8	5	289
2020-12-30	46	15	1	774
